location,area,bhk,price
Badlapur East,553,2,5462000
Badlapur East,489,2,3828000
Badlapur East,740,3,6026000
Badlapur East,365,1,3256000
Badlapur East,812,3,6523000
Karjat,575,1,2379000
Karjat,735,2,3242000
Karjat,840,2,3706000
Karjat,540,1,2234000
Karjat,460,1,1903000
Karjat,490,1,2027000
Karjat,795,2,3507000
Karjat,530,1,2193000
Karjat,595,1,2462000
Karjat,755,2,3331000
Karjat,435,1,1800000
Karjat,680,2,3000000
Karjat,715,2,3154000
Karjat,780,2,3441000
Pisarve,750,1,3300000
Dombivli (West),575,1,3565000
Andheri West,1150,4,28000000
Mira Road East,750,2,7000000
Kalyan West,963,3,5700000
Kalwa,510,1,3800000
Ulwe,1227,2,9100000
Virar West,560,1,3199000
Dombivali,1135,4,6200000
Ulwe,400,1,2300000
Ghatkopar West,580,1,8000000
Nala Sopara,505,1,3000000
Kalwa,500,1,2600000
Malad East,592,2,13400000
Malad East,613,2,13900000
Malad East,405,1,9234000
Borivali East,380,1,8800000
Borivali East,764,2,18500000
Haranwali,600,1,1800000
Ghatkopar West,400,1,4500000
Andheri East,1000,4,22500000
Usarghar Gaon,792,2,4700000
Dombivali East,480,1,2400000
Thane West,2050,6,35000000
Powai,4690,4,91800000
Thane West,550,1,4141000
Thane East,755,3,14600000
Thane East,620,2,12000000
Thane East,571,2,11000000
Thane East,581,2,11200000
Thane East,746,3,14400000
Thane East,863,3,16700000
Airoli,530,1,5500000
Airoli,515,1,2500000
Airoli,515,1,2500000
Vasai,695,1,3822000
Chembur,1510,3,28500000
Mira Road East,1020,2,8500000
Kalyan West,951,2,7000000
Andheri West,651,1,2000000
Kharghar,1250,2,11500000
Bhiwandi,531,1,1700000
Chembur,552,1,8500000
Mulund East,1980,3,17500000
Rohinjan,694,2,6700000
Owale,1250,3,15000000
Kharghar,1000,2,6850000
Dombivali East,836,2,6800000
Kalyan West,950,2,8500000
Panvel,690,1,6200000
Khopoli,950,2,4175000
Khopoli,675,1,3000000
Khopoli,970,2,4275000
Khopoli,605,1,2650000
Khopoli,555,1,2400000
Khopoli,665,1,2950000
Khopoli,615,1,2700000
Khopoli,535,1,2200000
Khopoli,545,1,2350000
Khopoli,930,2,4100000
Khopoli,565,1,2450000
Mulund West,952,2,19500000
Badlapur East,400,1,1800000
Goregaon West,1017,2,15900000
Andheri West,430,1,9800000
Thane West,1265,2,15500000
Bhiwandi,1034,2,4499000
Navade,700,1,3700000
Kamothe,625,1,2190000
Goregaon East,666,2,19300000
Borivali West,380,1,7800000
Kewale,675,1,2800000
Mira Road East,1000,2,12000000
Kewale,700,1,2851000
Mira Road East,1000,2,12000000
Bhiwandi,600,1,2200000
Hendre Pada,520,1,2500000
Kalyan West,650,1,4900000
Palghar,860,2,3870000
Chembur,550,1,9500000
Kalyan West,957,2,9500000
Kalyan East,900,2,5490000
Kalyan East,924,2,5636000
Kalyan East,619,1,3775000
Kalyan East,639,1,3897000
Kalyan East,894,2,5453000
Kalyan East,615,1,3751000
Kalyan East,925,2,5642000
Kalyan East,634,1,3867000
Kalyan East,899,2,5483000
Kalyan East,595,1,3629000
Mira Road East,850,2,5100000
Andheri East,900,2,18500000
Ambivali,1062,3,7500000
