bhk_name,bhk_url,bhk_price,bhk_area,bhk_location,bhk_location_url
2,https://www.makaan.com/mumbai/agarwal-shishira-tower-in-andheri-west-19775218/2bhk-2t-900-sqft-apartment,2.65 Cr,900,Andheri West,https://www.makaan.com/mumbai-property/andheri-west-flats-for-sale-50023
2,https://www.makaan.com/mumbai/k-raheja-realty-classique-in-andheri-west-19775151/2bhk-2t-950-sqft-apartment,3.75 Cr,950,Andheri West,https://www.makaan.com/mumbai-property/andheri-west-flats-for-sale-50023
2,https://www.makaan.com/mumbai/k-raheja-realty-classique-in-andheri-west-19775147/2bhk-2t-900-sqft-apartment,3.75 Cr,900,Andheri West,https://www.makaan.com/mumbai-property/andheri-west-flats-for-sale-50023
5,https://www.makaan.com/mumbai/builder-project-in-andheri-west-19775146/5bhk-6t-3000-sqft-apartment,12 Cr,3000,Andheri West,https://www.makaan.com/mumbai-property/andheri-west-flats-for-sale-50023
3,https://www.makaan.com/mumbai/sharan-shelters-fifth-avenue-apartments-in-ville-parle-west-19775145/3bhk-3t-1500-sqft-apartment,8 Cr,1500,Ville Parle West,https://www.makaan.com/mumbai-property/ville-parle-west-flats-for-sale-50330
2,https://www.makaan.com/mumbai/sona-developers-asteria-heights-in-prabhadevi-19757432/2bhk-2t-1250-sqft-apartment,3.65 Cr,1250,Prabhadevi,https://www.makaan.com/mumbai-property/prabhadevi-flats-for-sale-50038
1,https://www.makaan.com/mumbai/builder-project-in-jogeshwari-west-19773881/1bhk-1t-650-sqft-apartment,1 Cr,650,Jogeshwari West,https://www.makaan.com/mumbai-property/jogeshwari-west-flats-for-sale-50026
2,https://www.makaan.com/mumbai/godrej-properties-central-in-chembur-19838184/2bhk-2t-1150-sqft-apartment,1.95 Cr,1150,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
2,https://www.makaan.com/mumbai/reliance-corporation-tilak-indrayani-chsl-in-chembur-19838181/2bhk-2t-1100-sqft-apartment,1.6 Cr,1100,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
2,https://www.makaan.com/mumbai/shreenathji-group-39-anthea-in-chembur-19838180/2bhk-2t-1050-sqft-apartment,1.75 Cr,1050,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
3,https://www.makaan.com/mumbai/godrej-properties-central-in-chembur-19838173/3bhk-2t-1250-sqft-apartment,2.4 Cr,1250,Chembur,https://www.makaan.com/mumbai-property/chembur-flats-for-sale-50033
2,https://www.makaan.com/mumbai/builder-project-in-thane-west-19841070/2bhk-2t-880-sqft-apartment,94 L,880,Thane West,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063
1,https://www.makaan.com/mumbai/builder-project-in-thane-west-19841120/1bhk-2t-640-sqft-apartment,73 L,640,Thane West,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063
2,https://www.makaan.com/mumbai/shubh-realty-mumbai-seven-square-avenue-in-bhayandar-east-19836237/2bhk-2t-1091-sqft-apartment,90.14 L,1091,Bhayandar East,https://www.makaan.com/mumbai-property/bhayandar-east-flats-for-sale-51209
1,https://www.makaan.com/mumbai/raj-realty-akshay-in-mira-road-east-19836236/1bhk-2t-711-sqft-apartment,64.9 L,711,Mira Road East,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735
1,https://www.makaan.com/mumbai/umiya-developers-oasis-in-mira-road-east-19833376/1bhk-2t-715-sqft-apartment,58.9 L,715,Mira Road East,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735
3,https://www.makaan.com/mumbai/sd-corp-building-no-3-wing-c-aquila-in-kandivali-east-19833619/3bhk-3t-1023-sqft-apartment,2.6 Cr,1023,Kandivali East,https://www.makaan.com/mumbai-property/kandivali-east-flats-for-sale-50027
3,https://www.makaan.com/mumbai/gundecha-builders-greens-phase-1-in-kandivali-east-19833617/3bhk-2t-808-sqft-apartment,1.95 Cr,808,Kandivali East,https://www.makaan.com/mumbai-property/kandivali-east-flats-for-sale-50027
