location,area,bhk,price
Sarjapur,1430,3,6435000
Sarjapur,1335,3,6007000
Sarjapur,1100,2,4950000
Bettadasanapura,2265,4,15200000
Bettadasanapura,1715,3,11500000
Bettadasanapura,1555,3,10400000
Bettadasanapura,1320,2,8880000
Bettadasanapura,1095,2,7472000
Bettadasanapura,1230,2,8356000
Bettadasanapura,1145,2,7742000
Bettadasanapura,2070,3,13900000
Bettadasanapura,1720,3,11400000
Bettadasanapura,1130,2,7300000
Bettadasanapura,1060,2,7190000
Bettadasanapura,1410,2,9535000
Bettadasanapura,2110,3,14200000
Bettadasanapura,1340,2,9010000
Devanahalli,1200,3,2818000
Sarjapur Road Post Railway Crossing,1070,2,6815000
Devanahalli,2400,3,8877000
Devanahalli,2400,3,8877000
Devanahalli,1200,3,4438000
Devanahalli,1200,3,4438000
Uttarahalli,1795,3,9763000
Uttarahalli,1270,2,6981000
Uttarahalli,1500,3,8200000
Kannamangala,670,1,5207000
Kannamangala,670,1,5207000
Kannamangala,1361,2,10100000
Kannamangala,1361,2,10100000
Kannamangala,1096,2,8231000
Kannamangala,1096,2,8231000
Kannamangala,1380,2,10200000
Kannamangala,1380,2,10200000
Kannamangala,1523,3,11200000
Kannamangala,1523,3,11200000
Kannamangala,1105,2,8295000
Kannamangala,1105,2,8295000
Kannamangala,1498,3,11000000
Kannamangala,1498,3,11000000
Thanisandra,1050,2,6823000
Thanisandra,1350,3,8601000
Thanisandra,1030,2,6705000
Thanisandra,1100,2,7120000
Thanisandra,1400,3,8862000
Varthur,500,1,2300000
Varthur,860,2,3956000
Chikkanayakanahalli at Off Sarjapur,1174,2,7695000
Chikkanayakanahalli at Off Sarjapur,878,2,5830000
Uttarahalli,1640,3,12200000
Uttarahalli,1890,4,14000000
Uttarahalli,1885,4,14000000
Uttarahalli,1715,3,12800000
Uttarahalli,1780,3,13200000
Uttarahalli,1885,3,14000000
Uttarahalli,1750,3,13000000
Uttarahalli,1685,3,12500000
Uttarahalli,1890,3,14000000
Uttarahalli,1290,2,9783000
Uttarahalli,1820,3,13500000
Uttarahalli,1580,2,11800000
Uttarahalli,1760,3,13100000
Uttarahalli,1700,3,12700000
Uttarahalli,1570,2,11700000
Uttarahalli,1830,3,13600000
