location,area,bhk,price
Uttam Nagar,725,2,2871000
Uttam Nagar,600,2,2675000
Uttam Nagar,1375,3,7211000
Uttam Nagar,850,3,3871000
Uttam Nagar,650,2,2775000
Uttam Nagar,680,2,2800000
Uttam Nagar,625,2,2750000
Uttam Nagar,875,3,4361000
Uttam Nagar,550,1,1721000
Uttam Nagar,850,3,4561000
Uttam Nagar,900,3,4775000
Uttam Nagar,800,3,4110000
Uttam Nagar,540,2,2600000
Uttam Nagar,550,2,2521000
Uttam Nagar,400,1,1600000
Uttam Nagar,600,2,2700000
Uttam Nagar,580,1,1800000
Uttam Nagar,550,1,1721000
Uttam Nagar,850,3,4561000
Uttam Nagar,900,3,4775000
Uttam Nagar,800,3,4110000
Uttam Nagar,540,2,2600000
Uttam Nagar,550,2,2521000
Uttam Nagar,400,1,1600000
Uttam Nagar,600,2,2700000
Uttam Nagar,650,2,2780000
Uttam Nagar,650,2,2675000
Uttam Nagar,600,1,1821000
Uttam Nagar,600,2,2651000
Uttam Nagar,700,2,3000000
Uttam Nagar,600,2,2650000
Uttam Nagar,475,1,1655000
Uttam Nagar,460,1,1660000
Uttam Nagar,450,1,1780000
Uttam Nagar,900,3,5000000
Uttam Nagar,600,1,1950000
Uttam Nagar,700,2,3000000
Uttam Nagar,580,2,2575000
Uttam Nagar,600,1,1950000
Uttam Nagar,750,3,3551000
Uttam Nagar,1400,4,8700000
Uttam Nagar,500,2,2500000
Uttam Nagar,600,3,3000000
Uttam Nagar,800,3,4000000
Sector 23 Dwarka,1780,3,18400000
Sector 9 Dwarka,1605,3,14100000
Vasant Kunj,650,1,7000000
Uttam Nagar,500,2,2551000
Dwarka Mor,720,2,3399000
Dwarka Mor,450,2,2500000
Dwarka Mor,990,3,6000000
Dwarka Mor,675,3,3200000
Dwarka Mor,765,3,4099000
Sector 12 Dwarka,1080,2,10000000
Kalkaji,1600,4,22500000
Karol Bagh,1252,2,22000000
Mandakini Enclave,1500,2,17500000
greater kailash Enclave 1,2000,5,24500000
Sector 6 Dwarka,1900,3,17500000
DLF Farms,900,2,2900000
DLF Farms,500,1,1400000
Sector 10 Dwarka,2400,4,18500000
Sector 3 Dwarka,1850,3,16400000
Sector 22 Dwarka,4000,4,34800000
Sector-18 Dwarka,3000,4,39000000
Sector 12 Dwarka,1600,3,14500000
Sector 9 Dwarka,1350,2,13200000
Sector 10 Dwarka,2200,4,23500000
Alaknanda,1550,3,22000000
Uttam Nagar,635,2,2651000
Dwarka Mor,575,2,2471000
Uttam Nagar,540,2,2750000
Patparganj,1600,3,22500000
Dwarka Mor,400,1,1800000
Dwarka Mor,380,1,1700000
Mayur Vihar II,2500,4,30000000
Shadipur,3901,4,85000000
Uttam Nagar,900,3,5000000
Paschim Vihar,1500,3,14900000
Mayur Vihar II,2500,4,26000000
Sector 12 Dwarka,1750,3,19000000
Sector 12 Dwarka,2390,4,23500000
Sector 6 Dwarka,1760,3,17100000
Uttam Nagar,1000,3,6200000
Uttam Nagar,420,1,1300000
Uttam Nagar,550,2,2250000
Uttam Nagar,750,3,3550000
Uttam Nagar,450,1,1450000
Uttam Nagar,420,1,1350000
Uttam Nagar,540,2,1800000
Uttam Nagar,900,3,5000000
Uttam Nagar,360,1,1000000
Uttam Nagar,450,1,1400000
Uttam Nagar,810,3,4200000
Uttam Nagar,400,1,1200000
Uttam Nagar,585,2,2000000
Uttam Nagar,750,3,3200000
Uttam Nagar,630,2,2500000
Uttam Nagar,950,3,4999000
Uttam Nagar,1080,3,5999000
Uttam Nagar,500,2,2100000
Uttam Nagar,450,2,1800000
Uttam Nagar,850,3,3999000
Uttam Nagar,550,2,2399000
Sector 4 Dwarka,1700,3,14300000
Sector 19 Dwarka,1700,3,15500000
Sector 23 Dwarka,385,1,2351000
