,BHK,Area,Price,Location
281,3 ,1355 ,58.19 L,"West Tambaram,Chennai"
282,3 ,1355 ,58.19 L,"West Tambaram,Chennai"
283,3 ,1561 ,67.04 L,"West Tambaram,Chennai"
284,3 ,1561 ,67.04 L,"West Tambaram,Chennai"
285,3 ,1297 ,55.7 L,"West Tambaram,Chennai"
286,2 ,917 ,82.48 L,"Anna Nagar,Chennai"
287,3 ,1297 ,55.7 L,"West Tambaram,Chennai"
288,2 ,1166 ,50.07 L,"West Tambaram,Chennai"
289,2 ,1166 ,50.07 L,"West Tambaram,Chennai"
290,2 ,896 ,38.48 L,"West Tambaram,Chennai"
291,3 ,1254 ,1.12 Cr,"Anna Nagar,Chennai"
292,2 ,896 ,38.48 L,"West Tambaram,Chennai"
293,3 ,1480 ,63.56 L,"West Tambaram,Chennai"
294,3 ,1218 ,1.09 Cr,"Anna Nagar,Chennai"
295,3 ,1480 ,63.56 L,"West Tambaram,Chennai"
296,3 ,1351 ,58.02 L,"West Tambaram,Chennai"
297,3 ,1351 ,58.02 L,"West Tambaram,Chennai"
298,3 ,1261 ,54.15 L,"West Tambaram,Chennai"
299,3 ,1233 ,1.1 Cr,"Anna Nagar,Chennai"
300,3 ,1261 ,54.15 L,"West Tambaram,Chennai"
301,3 ,1265 ,54.33 L,"West Tambaram,Chennai"
302,3 ,1268 ,1.14 Cr,"Anna Nagar,Chennai"
303,3 ,1265 ,54.33 L,"West Tambaram,Chennai"
304,3 ,1334 ,57.29 L,"West Tambaram,Chennai"
305,3 ,1334 ,57.29 L,"West Tambaram,Chennai"
306,3 ,1671 ,80.19 L,"Perumbakkam,Chennai"
307,3 ,1604 ,76.97 L,"Perumbakkam,Chennai"
308,2 ,1240 ,59.5 L,"Perumbakkam,Chennai"
309,3 ,1604 ,76.97 L,"Perumbakkam,Chennai"
310,2 ,1240 ,59.5 L,"Perumbakkam,Chennai"
311,4 ,2320 ,1.11 Cr,"Perumbakkam,Chennai"
312,2 ,1240 ,59.5 L,"Perumbakkam,Chennai"
313,4 ,2320 ,1.11 Cr,"Perumbakkam,Chennai"
314,3 ,1446 ,69.39 L,"Perumbakkam,Chennai"
315,4 ,2320 ,1.11 Cr,"Perumbakkam,Chennai"
316,3 ,1846 ,88.58 L,"Perumbakkam,Chennai"
317,3 ,1446 ,69.39 L,"Perumbakkam,Chennai"
318,3 ,1581 ,75.87 L,"Perumbakkam,Chennai"
319,3 ,1846 ,88.58 L,"Perumbakkam,Chennai"
320,3 ,1360 ,65.26 L,"Perumbakkam,Chennai"
321,3 ,1581 ,75.87 L,"Perumbakkam,Chennai"
