,BHK,Area,Price,Location
1164,2 BHK,2200 Sq.Ft,1.05 Cr,"Lingarajapuram,Bangalore"
1165,4 BHK,4250 Sq.Ft,3.25 Cr,"Krishnarajapura,Bangalore"
1166,7 BHK,3400 Sq.Ft,2.9 Cr,"Banashankari,Bangalore"
1167,3 BHK,1700 Sq.Ft,1.3 Cr,"Sir M V Nagar,Bangalore"
1168,3 BHK,1800 Sq.Ft,1.3 Cr,"Sir M V Nagar,Bangalore"
1169,3 BHK,1082 Sq.Ft,75 L,"Kumbalgodu,Bangalore"
1170,6 BHK,4100 Sq.Ft,4.7 Cr,"Bellandur,Bangalore"
1171,None,1400 Sq.Ft,40.6 L,"Anjanapura Township,Bangalore"
1172,None,1406 Sq.Ft,38.98 L,"Anjanapura Township,Bangalore"
1173,2 BHK,890 Sq.Ft,30.96 L,"Attibele,Bangalore"
1174,2 BHK,1115 Sq.Ft,85 L,"Gottigere,Bangalore"
1175,4 BHK,3800 Sq.Ft,1.65 Cr,"Bedarahalli,Bangalore"
1176,2 BHK,1482 Sq.Ft,1.1 Cr,"Banashankari,Bangalore"
1177,3 BHK,2300 Sq.Ft,99 L,"Chikkanahalli,Bangalore"
1178,2 BHK,1800 Sq.Ft,57 L,"Sanjaynagar,Bangalore"
1179,4 BHK,1130 Sq.Ft,68.5 L,"Sarjapur Road Wipro To Railway Crossing,Bangalore"
1180,4 BHK,1130 Sq.Ft,68.5 L,"Sarjapur Road Wipro To Railway Crossing,Bangalore"
1181,6 BHK,3400 Sq.Ft,2.5 Cr,"Harlur,Bangalore"
1182,2 BHK,1800 Sq.Ft,57 L,"Sanjaynagar,Bangalore"
1183,3 BHK,2277 Sq.Ft,3.1 Cr,"Koramangala,Bangalore"
1184,4 BHK,2000 Sq.Ft,90 L,"Lal Bahadur Shastri Nagar,Bangalore"
1185,3 BHK,1700 Sq.Ft,1.28 Cr,"Thanisandra,Bangalore"
1186,2 BHK,1089 Sq.Ft,58 L,"Vidyaranyapura,Bangalore"
1187,2 BHK,1150 Sq.Ft,49 L,"Hennur,Bangalore"
1188,3 BHK,1223 Sq.Ft,68 L,"Begur,Bangalore"
1189,2 BHK,1050 Sq.Ft,37 L,"Uttarahalli Hobli,Bangalore"
1190,2 BHK,1025 Sq.Ft,63 L,"Electronic City Phase 1,Bangalore"
1191,4 BHK,3700 Sq.Ft,1.65 Cr,"Bharat Nagar,Bangalore"
1192,2 BHK,1060 Sq.Ft,30 L,"Sarjapur,Bangalore"
1193,3 BHK,2200 Sq.Ft,99 L,"Attibele,Bangalore"
1194,2 BHK,1065 Sq.Ft,64 L,"Talaghattapura,Bangalore"
1195,3 BHK,1550 Sq.Ft,82 L,"Vidyaranyapura,Bangalore"
1196,2 BHK,1200 Sq.Ft,1.02 Cr,"Kaggadasapura,Bangalore"
1197,3 BHK,1100 Sq.Ft,3 Cr,"Shivaji Nagar,Bangalore"
1198,2 BHK,1165 Sq.Ft,75 L,"Kadugodi,Bangalore"
1199,2 BHK,1100 Sq.Ft,45 L,"Harlur,Bangalore"
1200,3 BHK,1300 Sq.Ft,59 L,"Banashankari,Bangalore"
1201,7 BHK,3000 Sq.Ft,93 L,"Electronics City,Bangalore"
1202,3 BHK,1685 Sq.Ft,1.26 Cr,"Koramangala,Bangalore"
1203,3 BHK,1765 Sq.Ft,1.35 Cr,"Krishnarajapura,Bangalore"
1204,3 BHK,1480 Sq.Ft,65 L,"Bedarahalli,Bangalore"
1205,3 BHK,2560 Sq.Ft,2.2 Cr,"Harlur,Bangalore"
1206,2 BHK,1180 Sq.Ft,70 L,"Bellandur,Bangalore"
1207,2 BHK,1220 Sq.Ft,50 L,"HBR Layout,Bangalore"
1208,2 BHK,953 Sq.Ft,69.99 L,"Sarjapur Road Post Railway Crossing,Bangalore"
1209,3 BHK,1390 Sq.Ft,78 L,"JP Nagar Phase 5,Bangalore"
1210,3 BHK,1390 Sq.Ft,78.5 L,"JP Nagar Phase 5,Bangalore"
1211,3 BHK,1601 Sq.Ft,94.5 L,"Avalahalli Off Sarjapur Road,Bangalore"
1212,3 BHK,2314 Sq.Ft,2.8 Cr,"Koramangala,Bangalore"
1213,2 BHK,1163 Sq.Ft,70 L,"Nelamangala,Bangalore"
1214,5 BHK,4000 Sq.Ft,5.25 Cr,"J. P. Nagar,Bangalore"
1215,2 BHK,1175 Sq.Ft,65 L,"Tejaswini Nagar,Bangalore"
1216,3 BHK,1871 Sq.Ft,88 L,"Sarjapur Road Wipro To Railway Crossing,Bangalore"
1217,3 BHK,1075 Sq.Ft,41 L,"Doddaballapur,Bangalore"
1218,2 BHK,814 Sq.Ft,52 L,"Nelamangala,Bangalore"
1219,3 BHK,1325 Sq.Ft,75 L,"Kaggadasapura,Bangalore"
1220,5 BHK,6000 Sq.Ft,4.25 Cr,"RR Nagar,Bangalore"
1221,2 BHK,1090 Sq.Ft,49 L,"Annapurneshwari Nagar,Bangalore"
1222,2 BHK,929 Sq.Ft,52 L,"Subramanyapura,Bangalore"
1223,3 BHK,1225 Sq.Ft,58 L,"Kengeri,Bangalore"
1224,3 BHK,2105 Sq.Ft,2.52 Cr,"Vasanth Nagar,Bangalore"
1225,5 BHK,6000 Sq.Ft,4.25 Cr,"RR Nagar,Bangalore"
1226,3 BHK,800 Sq.Ft,35 L,"Marsur,Bangalore"
1227,3 BHK,1850 Sq.Ft,3 Cr,"CV Raman Nagar,Bangalore"
1228,10 BHK,14000 Sq.Ft,7 Cr,"Kaggadasapura,Bangalore"
1229,2 BHK,1130 Sq.Ft,70 L,"Carmelaram,Bangalore"
1230,2 BHK,1160 Sq.Ft,65 L,"Carmelaram,Bangalore"
1231,3 BHK,2433 Sq.Ft,2.85 Cr,"Koramangala,Bangalore"
1232,2 BHK,970 Sq.Ft,49 L,"Chikkalasandra,Bangalore"
1233,3 BHK,1230 Sq.Ft,58 L,"Bagalur,Bangalore"
1234,3 BHK,1507 Sq.Ft,1.45 Cr,"Sarjapur Road Wipro To Railway Crossing,Bangalore"
1235,2 BHK,1127 Sq.Ft,68 L,"New Thippasandra,Bangalore"
1236,2 BHK,1489 Sq.Ft,1.3 Cr,"RMV,Bangalore"
1237,2 BHK,1080 Sq.Ft,58 L,"Budigere Cross,Bangalore"
1238,2 BHK,1000 Sq.Ft,65 L,"Whitefield,Bangalore"
1239,5 BHK,3200 Sq.Ft,2.25 Cr,"Marathahalli,Bangalore"
1240,3 BHK,3600 Sq.Ft,2.79 Cr,"Basaveswarnagar,Bangalore"
1241,2 BHK,1150 Sq.Ft,45 L,"Electronic City Phase 1,Bangalore"
1242,2 BHK,1145 Sq.Ft,88.16 L,"Koramangala,Bangalore"
1243,3 BHK,1380 Sq.Ft,98 L,"Thanisandra,Bangalore"
1244,3 BHK,1910 Sq.Ft,2.1 Cr,"Yelahanka,Bangalore"
1245,5 BHK,2000 Sq.Ft,1.85 Cr,"Shanti Nagar,Bangalore"
1246,2 BHK,700 Sq.Ft,59 L,"Rajajinagar,Bangalore"
1247,3 BHK,2400 Sq.Ft,1.5 Cr,"Devanahalli,Bangalore"
1248,2 BHK,1150 Sq.Ft,54 L,"Kengeri,Bangalore"
1249,3 BHK,1743 Sq.Ft,1.23 Cr,"Marathahalli,Bangalore"
1250,2 BHK,1075 Sq.Ft,42 L,"Hosa Road,Bangalore"
1251,3 BHK,1440 Sq.Ft,80 L,"Jnana Ganga Nagar,Bangalore"
1252,3 BHK,1570 Sq.Ft,90 L,"Krishnarajapura,Bangalore"
1253,4 BHK,3500 Sq.Ft,2.95 Cr,"Srirampuram,Bangalore"
1254,2 BHK,1012 Sq.Ft,48.5 L,"Electronic City Phase 2,Bangalore"
1255,4 BHK,2400 Sq.Ft,85 L,"Boyalahalli,Bangalore"
1256,6 BHK,3400 Sq.Ft,1.45 Cr,"Chikbanavara,Bangalore"
1257,2 BHK,1400 Sq.Ft,75 L,"Kannamangala,Bangalore"
1258,3 BHK,1827 Sq.Ft,1.12 Cr,"Krishnarajapura,Bangalore"
1259,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1260,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1261,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1262,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1263,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1264,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1265,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1266,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1267,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1268,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1269,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1270,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1271,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1272,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1273,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1274,3 BHK,1512 Sq.Ft,55 L,"Hennur,Bangalore"
1275,3 BHK,1512 Sq.Ft,55 L,"Hennur,Bangalore"
1276,3 BHK,1515 Sq.Ft,59 L,"Hennur,Bangalore"
1277,3 BHK,1512 Sq.Ft,55 L,"Hennur,Bangalore"
1278,3 BHK,1512 Sq.Ft,55 L,"Hennur,Bangalore"
1279,3 BHK,1512 Sq.Ft,55 L,"Hennur,Bangalore"
1280,6 BHK,2800 Sq.Ft,3.8 Cr,"Bendre Nagar,Bangalore"
1281,3 BHK,1827 Sq.Ft,1.12 Cr,"Krishnarajapura,Bangalore"
1282,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1283,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1284,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1285,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1286,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1287,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1288,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1289,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1290,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1291,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1292,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1293,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1294,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1295,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1296,2 BHK,1134 Sq.Ft,55 L,"Kalyan Nagar,Bangalore"
1297,3 BHK,1512 Sq.Ft,55 L,"Hennur,Bangalore"
1298,3 BHK,1512 Sq.Ft,55 L,"Hennur,Bangalore"
1299,3 BHK,1515 Sq.Ft,59 L,"Hennur,Bangalore"
1300,9 BHK,7500 Sq.Ft,2.6 Cr,"Hulimangala,Bangalore"
1301,2 BHK,1235 Sq.Ft,49 L,"Begur,Bangalore"
1302,4 BHK,2400 Sq.Ft,75 L,"Thathaguni,Bangalore"
1303,3 BHK,1370 Sq.Ft,1.05 Cr,"HSR Layout,Bangalore"
1304,2 BHK,1050 Sq.Ft,48 L,"R.K. Hegde Nagar,Bangalore"
1305,3 BHK,1400 Sq.Ft,58 L,"Narayanapura Hennur Main Road,Bangalore"
1306,2 BHK,1045 Sq.Ft,50 L,"Marsur,Bangalore"
1307,2 BHK,1050 Sq.Ft,50 L,"Marsur,Bangalore"
1308,2 BHK,928 Sq.Ft,50 L,"Electronic City Phase 1,Bangalore"
1309,3 BHK,1180 Sq.Ft,38 L,"Doddaballapur,Bangalore"
1310,3 BHK,1360 Sq.Ft,60 L,"Anjanapura,Bangalore"
1311,3 BHK,1360 Sq.Ft,60 L,"Anjanapura,Bangalore"
1312,7 BHK,3500 Sq.Ft,1.75 Cr,"NRI Layout,Bangalore"
1313,7 BHK,3500 Sq.Ft,1.75 Cr,"NRI Layout,Bangalore"
1314,7 BHK,3500 Sq.Ft,1.75 Cr,"NRI Layout,Bangalore"
